/images/DJI_0802 (2).JPG	/labels/DJI_0802 (2).csv
/images/DJI_0676.JPG	/labels/DJI_0676.csv
/images/DJI_0233 (2).JPG	/labels/DJI_0233 (2).csv
/images/DJI_0882 (2).JPG	/labels/DJI_0882 (2).csv
/images/DJI_0272.JPG	/labels/DJI_0272.csv
/images/DJI_0028 (2).JPG	/labels/DJI_0028 (2).csv
/images/DJI_0901.JPG	/labels/DJI_0901.csv
/images/DJI_0347.JPG	/labels/DJI_0347.csv
/images/DJI_0112.JPG	/labels/DJI_0112.csv
/images/DJI_0522.JPG	/labels/DJI_0522.csv
/images/DJI_0652 (2).JPG	/labels/DJI_0652 (2).csv
/images/DJI_0731.JPG	/labels/DJI_0731.csv
/images/DJI_0528 (2).JPG	/labels/DJI_0528 (2).csv
/images/DJI_0991.JPG	/labels/DJI_0991.csv
/images/DJI_0911.JPG	/labels/DJI_0911.csv
/images/DJI_0258 (2).JPG	/labels/DJI_0258 (2).csv
/images/DJI_0158 (2).JPG	/labels/DJI_0158 (2).csv
/images/DJI_0442.JPG	/labels/DJI_0442.csv
/images/DJI_0063 (2).JPG	/labels/DJI_0063 (2).csv
/images/DJI_0352.JPG	/labels/DJI_0352.csv
/images/DJI_0791.JPG	/labels/DJI_0791.csv
/images/DJI_0148 (2).JPG	/labels/DJI_0148 (2).csv
/images/DJI_0362.JPG	/labels/DJI_0362.csv
/images/DJI_0187.JPG	/labels/DJI_0187.csv
/images/DJI_0987 (2).JPG	/labels/DJI_0987 (2).csv
/images/DJI_0594.JPG	/labels/DJI_0594.csv
/images/DJI_0412.JPG	/labels/DJI_0412.csv
/images/DJI_0881.JPG	/labels/DJI_0881.csv
/images/DJI_0532.JPG	/labels/DJI_0532.csv
/images/DJI_0617.JPG	/labels/DJI_0617.csv
/images/DJI_0223 (2).JPG	/labels/DJI_0223 (2).csv
/images/DJI_0746.JPG	/labels/DJI_0746.csv
/images/DJI_0402.JPG	/labels/DJI_0402.csv
/images/DJI_0093 (2).JPG	/labels/DJI_0093 (2).csv
/images/DJI_0647 (2).JPG	/labels/DJI_0647 (2).csv
/images/DJI_0002.JPG	/labels/DJI_0002.csv
/images/DJI_0217.JPG	/labels/DJI_0217.csv
/images/DJI_0951.JPG	/labels/DJI_0951.csv
/images/DJI_0777 (2).JPG	/labels/DJI_0777 (2).csv
/images/DJI_0482.JPG	/labels/DJI_0482.csv
/images/DJI_0806.JPG	/labels/DJI_0806.csv
/images/DJI_0328 (2).JPG	/labels/DJI_0328 (2).csv
/images/DJI_0358 (2).JPG	/labels/DJI_0358 (2).csv
/images/DJI_0957 (2).JPG	/labels/DJI_0957 (2).csv
/images/DJI_0385 (2).JPG	/labels/DJI_0385 (2).csv
/images/DJI_0017.JPG	/labels/DJI_0017.csv
/images/DJI_0852 (2).JPG	/labels/DJI_0852 (2).csv
/images/DJI_0756.JPG	/labels/DJI_0756.csv
/images/DJI_0237.JPG	/labels/DJI_0237.csv
/images/DJI_0182.JPG	/labels/DJI_0182.csv
/images/DJI_0332.JPG	/labels/DJI_0332.csv
/images/DJI_0107.JPG	/labels/DJI_0107.csv
/images/DJI_0302.JPG	/labels/DJI_0302.csv
/images/DJI_0972 (2).JPG	/labels/DJI_0972 (2).csv
/images/DJI_0128 (2).JPG	/labels/DJI_0128 (2).csv
/images/DJI_0108 (2).JPG	/labels/DJI_0108 (2).csv
/images/DJI_0052.JPG	/labels/DJI_0052.csv
/images/DJI_0185 (2).JPG	/labels/DJI_0185 (2).csv
/images/DJI_0782 (2).JPG	/labels/DJI_0782 (2).csv
/images/DJI_0826.JPG	/labels/DJI_0826.csv
/images/DJI_0103 (2).JPG	/labels/DJI_0103 (2).csv
/images/DJI_0932 (2).JPG	/labels/DJI_0932 (2).csv
