image_scale :	 0.00392156862745098
image_mean :	 [[[0.3714 0.3609 0.2386]]]
image_std :	 [[[0.2705 0.2567 0.2161]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/sorghum_head_counting_dataset
dataset :	 shc
exp :	 tasselnetv2plus_dataset2_rf110_i64o8_r1_crop1024_lr-2_bs10_epoch500
data_list :	 ./data/sorghum_head_counting_dataset/dataset2_train.txt
data_val_list :	 ./data/sorghum_head_counting_dataset/dataset2_test.txt
restore_from :	 ./snapshots/shc/tasselnetv2plus_dataset2_rf110_i64o8_r1_crop1024_lr-2_bs10_epoch500/model_best.pth.tar
snapshot_dir :	 ./snapshots/shc/tasselnetv2plus_dataset2_rf110_i64o8_r1_crop1024_lr-2_bs10_epoch500
result_dir :	 ./results/shc/tasselnetv2plus_dataset2_rf110_i64o8_r1_crop1024_lr-2_bs10_epoch500
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 1.0
model :	 tasselnetv2plus
width_mult :	 1.0
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
use_nonlinear :	 False
use_context :	 False
use_squeeze :	 False
optimizer :	 sgd
batch_size :	 5
milestones :	 [200, 400]
crop_size :	 (256, 1024)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.95
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 4
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 41.29, mse: 46.29, relerr: 41.09%, relerr10: 41.09%, r2: 0.0691
epoch: 20, mae: 11.44, mse: 12.30, relerr: 11.18%, relerr10: 11.18%, r2: 0.4129
epoch: 30, mae: 39.58, mse: 39.99, relerr: 39.08%, relerr10: 39.08%, r2: 0.3798
epoch: 40, mae: 22.82, mse: 23.76, relerr: 22.41%, relerr10: 22.41%, r2: 0.2649
epoch: 50, mae: 43.68, mse: 44.28, relerr: 43.37%, relerr10: 43.37%, r2: 0.5122
epoch: 60, mae: 33.05, mse: 34.23, relerr: 32.60%, relerr10: 32.60%, r2: 0.1628
epoch: 70, mae: 24.90, mse: 27.40, relerr: 24.67%, relerr10: 24.67%, r2: 0.3279
epoch: 80, mae: 45.99, mse: 47.63, relerr: 45.53%, relerr10: 45.53%, r2: 0.3714
epoch: 90, mae: 23.05, mse: 28.55, relerr: 22.89%, relerr10: 22.89%, r2: 0.1397
epoch: 100, mae: 13.39, mse: 17.55, relerr: 13.28%, relerr10: 13.28%, r2: 0.3006
epoch: 110, mae: 15.50, mse: 19.12, relerr: 15.33%, relerr10: 15.33%, r2: 0.3328
epoch: 120, mae: 3.58, mse: 4.78, relerr: 3.57%, relerr10: 3.57%, r2: 0.6767
epoch: 130, mae: 10.46, mse: 12.84, relerr: 10.39%, relerr10: 10.39%, r2: 0.4653
epoch: 140, mae: 14.22, mse: 14.92, relerr: 14.08%, relerr10: 14.08%, r2: 0.3705
epoch: 150, mae: 13.82, mse: 14.90, relerr: 13.69%, relerr10: 13.69%, r2: 0.6517
